place_standardized,lat,lon
"Canton, China",23.1288454,113.2590064
Louisiana,30.8703881,-92.007126
China,35.000074,104.999927
"New York, New York",40.7127281,-74.0060152
"Jamaica, New York",40.699835,-73.8077023
"Savannah, Georgia",32.0790074,-81.0921335
Pennsylvania,40.9699889,-77.7278831
"Washington, District of Columbia",38.8950368,-77.0365427
"Chicago, Illinois",41.8755616,-87.6244212
"Vicksburg, Mississippi",32.3528055,-90.8777342
"Pittsburgh Landing, Tennessee",NA,NA
Connecticut,41.6500201,-72.7342163
"New Haven, Connecticut",41.3082138,-72.9250518
https://bluegraychinese.blogspot.com/search/label/Hong%20Neok%20Woo,NA,NA
https://bluegraychinese.blogspot.com/search/label/Ling%20Kubser,NA,NA
New York City,40.7127281,-74.0060152
"Macao, China",22.1757605,113.5514142
"St. Joseph Bay, Florida",29.8010427,-85.3418637
"Boston, Massachusetts",42.3588336,-71.0578303
"Philadelphia, Pennsylvania",39.9527237,-75.1635262
"Brooklyn, New York",40.6526006,-73.9497211
New Jersey,40.0757384,-74.4041622
"Kingston, Ulster, New York",41.9287812,-74.0023825
"Hong Kong, China",22.3492155,114.1857978
not found on fold 3,NA,NA
Unknown,5.3565834,95.4705535
Not found on fold 3,NA,NA
Too many John Owens,NA,NA
"looked at, found nothing, DAVIS",NA,NA
"Huron, New York, district 24",NA,NA
Need to revisit later,NA,NA
"Shanghai, China",31.2312707,121.4700152
"New London, Connecticut",41.3556187,-72.0997804
Revisit this later!,NA,NA
