stop_id ,name,service_branch,side,stop_order,stop_type,stop_date,place_label,place_standardized,certainty,source_field,source_excerpt,notes_for_mapping,lat,lon
1,Pedro Acow (Accao),Army,Union,1,birth_place,,"Canton, China","Canton, China",exact,born_if_known,"Canton, China",,,
2,Pedro Acow (Accao),Army,Union,2,residence_at_enlistment,,,,approximate,important_notes,Enlisted September 29 1862,Residence listed in notes; standardized place is best city/state match for mapping.,,
3,Pedro Acow (Accao),Army,Union,3,rendezvous_or_enlistment,,"New Orleans, Louisiana","New Orleans, Louisiana",approximate,regiment_state + important_notes,Enlisted September 29 1862,,,
4,John Ahsoo,Army,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
5,John Ahsoo,Army,Union,2,residence_at_enlistment,,,,approximate,important_notes,Joined the regiment as a substitute at Cedar Creek in Feb 1864,Residence listed in notes; standardized place is best city/state match for mapping.,,
6,John Ahsoo,Army,Union,3,enlistment_or_service_state,,New York,New York,approximate,regiment_state + important_notes,Joined the regiment as a substitute at Cedar Creek in Feb 1864,State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
7,John Ahusoo,Army,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
8,John Ahusoo,Army,Union,2,residence_at_enlistment,,,,approximate,important_notes,,Residence listed in notes; standardized place is best city/state match for mapping.,,
9,John Ahusoo,Army,Union,3,enlistment_or_service_state,,New York,New York,approximate,regiment_state + important_notes,,State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
10,John Ahwoo *might be #3 OR John Awoo,Army,,1,residence_at_enlistment,,,,approximate,important_notes,,Residence listed in notes; standardized place is best city/state match for mapping.,,
11,John Ashwoo* might be #3 Or John Awoo,Army,,1,residence_at_enlistment,,,,approximate,important_notes,,Residence listed in notes; standardized place is best city/state match for mapping.,,
12,John Bobson,Army,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
13,John Bobson,Army,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Muster 2 Date: 31 May 1865; Muster 2 Place: New York; Muster 2 Unit: 1597; Muster 2 Company: B; Muster 2 Regiment: 90th Infantry; Muster 2 Regiment Type: Infantry; Muster 2 Information: Transferred; Muster Out 2 Date: 18 Oct 1865; Muster Out 2 Place: Savannah, Georgia; Muster Out 2 Information: Mustered Out; Enlisted as a substitute in Jamaica, 0ct 3, 1864; Military age: 28",Residence listed in notes; standardized place is best city/state match for mapping.,,
14,John Bobson,Army,Union,3,enlistment_or_service_state,,New York,New York,approximate,regiment_state + important_notes,"Muster 2 Date: 31 May 1865; Muster 2 Place: New York; Muster 2 Unit: 1597; Muster 2 Company: B; Muster 2 Regiment: 90th Infantry; Muster 2 Regiment Type: Infantry; Muster 2 Information: Transferred; Muster Out 2 Date: 18 Oct 1865; Muster Out 2 Place: Savannah, Georgia; Muster Out 2 Information: Mustered Out; Enlisted as a substitute in Jamaica, 0ct 3, 1864; Military age: 28",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
15,John Bobson,Army,Union,4,service_station,,"Savannah, Georgia","Savannah, Georgia",approximate,important_notes,"Muster 2 Date: 31 May 1865; Muster 2 Place: New York; Muster 2 Unit: 1597; Muster 2 Company: B; Muster 2 Regiment: 90th Infantry; Muster 2 Regiment Type: Infantry; Muster 2 Information: Transferred; Muster Out 2 Date: 18 Oct 1865; Muster Out 2 Place: Savannah, Georgia; Muster Out 2 Information: Mustered Out; Enlisted as a substitute in Jamaica, 0ct 3, 1864; Military age: 28","Station/location inferred from notes; may represent receiving ship, yard, prison, or service area rather than a full route.",,
16,John Bobson,Army,Union,5,discharge_or_muster_out,18 Oct 1865,"Savannah, Georgia","Savannah, Georgia",approximate,important_notes,"Muster 2 Date: 31 May 1865; Muster 2 Place: New York; Muster 2 Unit: 1597; Muster 2 Company: B; Muster 2 Regiment: 90th Infantry; Muster 2 Regiment Type: Infantry; Muster 2 Information: Transferred; Muster Out 2 Date: 18 Oct 1865; Muster Out 2 Place: Savannah, Georgia; Muster Out 2 Information: Mustered Out; Enlisted as a substitute in Jamaica, 0ct 3, 1864; Military age: 28",,,
17,Joseph Bulah,Army,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
