name,born_if_known,age_at_enlistment,side,service_branch,regiment_state,regiment_and_company,rank_in,rank_out,rank_in_out_raw,status_after_war,newspaper_references,ancestry_fold3_links,archival_information,important_notes
Pedro Acow (Accao),"Canton, China",,Union,Army,"New Orleans, Louisiana","2nd Regiment, Louisiana Infantry, K",Private,Private,Private/Private,Deserted,Yes?,https://www.fold3.com/memorial/659640300/pedro-acow-civil-war-stories https://www.ancestrylibrary.com/search/collections/1138/records/4102804?tid=&pid=&queryId=5d779985-04f8-4a06-89cc-3a35acb54af1&_phsrc=Xxd7&_phstart=successSource,"M387 roll 1, National Archives; https://www.familysearch.org/en/search/film/008272074?cat=499025&i=0; https://catalog.archives.gov/search-within/300398?q=Pedro%20acow","Enlisted September 29 1862
"
John Ahsoo,China,22,Union,Army,New York,"90th Infantry; 133rd Infantry, Company B",Private,Private,Private/Private,Survived,,https://www.fold3.com/memorial/663521768/john-ahsoo-civil-war-stories,https://catalog.archives.gov/search?page=1&q=John%20ahsoo,Joined the regiment as a substitute at Cedar Creek in Feb 1864
John Ahusoo,China,,Union,Army,New York,"102nd Infantry; 134th Infantry, Company G",Private,Private,Private/Private,Survived,,https://www.fold3.com/search?docQuery=(keywords:John+ahusoo); https://www.ancestrylibrary.com/search/categories/39/?name=John_Ahusoo&keyword=civil+war,https://catalog.archives.gov/id/32835469,
John Ahwoo *might be #3 OR John Awoo,,,,Army,,,,,,,,,,
John Ashwoo* might be #3 Or John Awoo,,,,Army,,,,,,,,,,
John Bobson,China,28,Union,Army,New York,"90th Infantry, Company B ; 133rd Regiment, Infantry",Private,Private,Private/ private,Survived,,https://www.ancestrylibrary.com/search/collections/1555/records/2460017?tid=&pid=&queryId=45701b49-60d2-4232-9869-32bd8fdc2ad8&_phsrc=XlF30&_phstart=successSource&_gl=1*17p4jz*_up*MQ..*_ga*MjAxNDUwMjcxMC4xNzY3ODkzNzQ2*_ga_4QT8FMEX30*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMSR0MTc2Nzg5Mzc0NSRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMCR0MTc2Nzg5Mzc0NSRqNjAkbDAkaDA. ; ; https://www.fold3.com/memorial/659904410/john-bobson-civil-war-stories,https://catalog.archives.gov/id/182825024; https://catalog.archives.gov/id/182825026,"Muster 2 Date: 31 May 1865; Muster 2 Place: New York; Muster 2 Unit: 1597; Muster 2 Company: B; Muster 2 Regiment: 90th Infantry; Muster 2 Regiment Type: Infantry; Muster 2 Information: Transferred; Muster Out 2 Date: 18 Oct 1865; Muster Out 2 Place: Savannah, Georgia; Muster Out 2 Information: Mustered Out; Enlisted as a substitute in Jamaica, 0ct 3, 1864; Military age: 28"
Joseph Bulah,China,,Union,Army,Pennsylvania,"28th Volunteer infantry, company C",Private,Private,Private/ private,"Survived, was arrested",Unsure. need to keep looking,https://www.fold3.com/memorial/662625665/joseph-bulah-civil-war-storiescc; https://www.ancestrylibrary.com/search/collections/1555/records/1127414?tid=&pid=&queryId=47b9ec70-c5e5-4f0c-a5d7-d5871f761628&_phsrc=XlF54&_phstart=successSource&_gl=1*1qto8jn*_up*MQ..*_ga*MTQ5NDg4NDI3Ni4xNzY3ODk0MjU4*_ga_4QT8FMEX30*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMSR0MTc2Nzg5NDI1OCRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMCR0MTc2Nzg5NDI1OCRqNjAkbDAkaDA.,https://catalog.archives.gov/id/148021590?objectPage=11,"Enlisted Sept 17 1863, arrested Sept 23 1863. Held in D.C. for remainder of war. Never settled debts."
Ah Pon Chon (Chon Ah Pon),"China, abt 1827",,Union,Army,New York,New York Volunteer Regiment,Private,Private,Private/ private,Survived,,https://www.fold3.com/memorial/662254019/abraham-cohn-civil-war-stories; https://www.ancestrylibrary.com/search/collections/1138/records/1264619?tid=&pid=&queryId=aa3ed0e7-3929-40de-9f15-6f86aafa25fe&_phsrc=XlF63&_phstart=successSource&_gl=1*1sbscvs*_up*MQ..*_ga*MTg0MDQwMDk4My4xNzY3ODk2MTQ0*_ga_4QT8FMEX30*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMCR0MTc2Nzg5NjE0MyRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czg5MDU0MTAzLTNkYTgtNDNkYi04ZjRiLTFlNGQ4MjFlYjhiMiRvMSRnMCR0MTc2Nzg5NjE0MyRqNjAkbDAkaDA.,https://catalog.archives.gov/id/161267750?objectPage=6; https://catalog.archives.gov/id/161267746,"Charles Ponn/ Poun, Charley Marry
Died July 1, 1888 at 61 years old in Brooklyn, NY
Allegedly came to the United States at 6 years old in 1833
Opened a candy store"
Edward Day Cohota,"Shanghai, China",18,Union,Army,Massachusetts,"23rd Massachusetts Infantry, Company I",,,,Survived,,,,"Enlisted Februrary 1864 for 16 months. Died 1935 in Parmelee, South Dakota. Buried in Valentine, Nebraska at Mount Hope Cemetery."
Antonio Dardell(e),"China, January 1 1844 or August 23; Clear struggle to prove date of birth",18,,Army,Connecticut,"27th Regiment, Infantry Company A",Private,Private,Private/Private,Survived,"https://access-newspaperarchive-com.ezproxy.lib.vt.edu/us/massachusetts/boston/boston-daily-globe/1892/09-21/page-22; https://access-newspaperarchive-com.ezproxy.lib.vt.edu/us/washington-dc/washington/washington-national-tribune/1890/10-30/page-4 (""genuine Chinaman""); https://access-newspaperarchive-com.ezproxy.lib.vt.edu/us/utah/salt-lake-city/salt-lake-city-telegram/1933/01-20/page-5 (death announcement)
https://www.fold3.com/image/10935333",,https://catalog.archives.gov/id/146919982?objectPage=35,"Enlisted for 9 months Oct 3. 1862, Discharged July 27, 1863. Nov and Dec 1862 was sick at general hospital until June1863. Wounded at Marye's Heights in Fredericksburg (December 1862)  Jan 27/63 transferred to New Haven; Pension (approved) record also available: Filed April 13, 1916. Address listed as 292 George St.; Married to Mary ? Payne, then Mary Dardell April 9th, 1868. Has three children (names illegible); Jan 31-1933.  died Jan 18th 1933. Flag used for burial; http://query.nytimes.com/mem/archive-free/pdf?res=FA0D11F63855157A93C5A81788D85F468884F9 (naturalization information); https://books.google.com/books?id=uCpKAAAAMAAJ&q=%22Antonio+Dardell%22&dq=%22Antonio+Dardell%22&hl=en&sa=X&ei=JB4iU8O2BMSzkAesmYHADg&ved=0CEoQ6AEwBA; https://bluegraychinese.blogspot.com/2014/03/antonio-dardelle.html"
